Scheme Name,Net Asset Value
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.6205
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.6767
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.2712
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,17.3426
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.5580
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.6216
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.2712
PGIM India Banking and PSU Debt fund - Bonus,13.3974
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend,10.3908
PGIM India Banking and PSU Debt fund - Monthly Dividend,10.7742
PGIM India Banking and PSU Debt fund - Quarterly Bonus,11.6111
PGIM India Banking and PSU Debt fund - Quarterly Dividend,10.5838
PGIM India Banking and PSU Debt Fund - Regular Dividend,10.383
PGIM India Banking and PSU Debt fund - Weekly Dividend,10.2735
PGIM India Banking and PSU Debt fund -Growth,20.4319
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus,13.6246
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus,15.2364
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend,11.0995
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend,10.9284
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend,10.6409
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend,10.2259
PGIM India Banking and PSU Debt fund- Direct Plan-Growth,21.3982
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1210.5115
SBI BANKING & PSU FUND - Direct Plan - Growth,2748.2114
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1174.5006
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1207.8220
SBI BANKING & PSU FUND - Regular Paln - Growth,2613.6880
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1192.4373
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1118.7675
